"endTime","artistName","trackName","msPlayed"
"2022-03-29 22:00","Doja Cat","Say So",88094
"2022-03-30 23:48","Carla Morrison","Eres Tú",210140
"2022-03-31 21:20","Tessa Violet","Bored",184401
"2022-03-31 21:24","Porta","Animales racionales",229573
"2022-03-31 21:28","Porta","Días Grises",233353
"2022-03-31 21:31","Tessa Violet","Bad Ideas",179173
"2022-03-31 21:33","Porta","Tetris Rap 1.5",96273
"2022-03-31 21:38","Porta","Aprecia Lo Que Tienes",313080
"2022-03-31 21:42","Zarcort","Five Nights at Freddy's (feat. Kronno)",213694
"2022-03-31 21:45","Iggy Azalea","Switch",189600
"2022-03-31 21:49","MisterWives","Revolution",230440
"2022-03-31 21:54","Porta","Nota De Suicidio (Con Soma)",312573
"2022-03-31 21:54","Porta","Espejismos",6386
"2022-03-31 21:57","Tessa Violet","Games",209748
"2022-03-31 22:01","MisterWives","Not Your Way",186933
"2022-03-31 22:04","MisterWives","3 small words",193026
"2022-03-31 22:07","MisterWives","Box Around The Sun",214120
"2022-03-31 22:10","C-Kan","Ayer, Hoy & Manana",188007
"2022-03-31 22:14","Santaflow","Jura por Tu Dios - Streaming Remaster",237524
"2022-03-31 22:19","Porta","Imperfecto",255567
"2022-03-31 22:22","Porta","Rap & Roll",223636
"2022-03-31 22:26","MisterWives","SUPERBLOOM",213546
"2022-03-31 22:30","Santaflow","Sin Miedo a Caer",256194
"2022-03-31 22:32","Tessa Violet","Words Ain't Enough",124365
"2022-03-31 22:35","MisterWives","over the rainbow",176906
"2022-03-31 22:39","MisterWives","the end",194893
"2022-03-31 22:42","Bebe Rexha","The Way I Are (Dance with Somebody) [feat. Lil Wayne]",187787
"2022-03-31 22:45","Lorde","Royals",190185
"2022-03-31 22:48","Zara Larsson","So Good (feat. Ty Dolla $ign)",166706
"2022-03-31 22:52","Porta","Entre Avenidas y Aceras",257779
"2022-03-31 22:55","Zara Larsson","WOW",179091
"2022-03-31 22:58","Luna Snow","Tonight - From ""Marvel Future Fight""/Future Fight Firsts Remix",184320
"2022-03-31 23:02","Porta","Mi Cuento de Hadas",254612
"2022-03-31 23:07","Santa RM","Conquístame",305946
"2022-03-31 23:11","Tessa Violet","Feelin",184488
"2022-03-31 23:13","Keyblade","Toma Dos Tazas (Cuphead Rap)",162676
"2022-03-31 23:16","MisterWives","Never Give Up On Me",174266
"2022-03-31 23:19","Aitana","Lo Malo",180831
"2022-03-31 23:22","Keyblade","Deadpool Vs Deathstroke (Épicas Batallas de Rap del Frikismo T2)",197143
"2022-03-31 23:25","Santa RM","Yo Vengo",178480
"2022-03-31 23:27","Marshmello","FRIENDS",690
"2022-03-31 23:27","Santa RM","Dame una Hora",940
