artistName,trackName,hour,day,month,year,weekday,weekdayName,minutesPlayed,hoursPlayed
Doja Cat,Say So,22,29,3,2022,3,martes,1.4682333333333333,0.024470555555555554
Carla Morrison,Eres Tú,23,30,3,2022,4,miércoles,3.5023333333333335,0.05837222222222222
Tessa Violet,Bored,21,31,3,2022,5,jueves,3.07335,0.0512225
Porta,Animales racionales,21,31,3,2022,5,jueves,3.826216666666667,0.06377027777777777
Porta,Días Grises,21,31,3,2022,5,jueves,3.8892166666666665,0.06482027777777778
Tessa Violet,Bad Ideas,21,31,3,2022,5,jueves,2.9862166666666665,0.049770277777777774
Porta,Tetris Rap 1.5,21,31,3,2022,5,jueves,1.60455,0.0267425
Porta,Aprecia Lo Que Tienes,21,31,3,2022,5,jueves,5.218,0.08696666666666666
Zarcort,Five Nights at Freddy's (feat. Kronno),21,31,3,2022,5,jueves,3.5615666666666668,0.059359444444444444
Iggy Azalea,Switch,21,31,3,2022,5,jueves,3.16,0.05266666666666667
MisterWives,Revolution,21,31,3,2022,5,jueves,3.8406666666666665,0.06401111111111112
Porta,Nota De Suicidio (Con Soma),21,31,3,2022,5,jueves,5.20955,0.08682583333333334
Porta,Espejismos,21,31,3,2022,5,jueves,0.10643333333333334,0.0017738888888888889
Tessa Violet,Games,21,31,3,2022,5,jueves,3.4958,0.058263333333333334
MisterWives,Not Your Way,22,31,3,2022,5,jueves,3.11555,0.05192583333333333
MisterWives,3 small words,22,31,3,2022,5,jueves,3.2171,0.05361833333333333
MisterWives,Box Around The Sun,22,31,3,2022,5,jueves,3.5686666666666667,0.059477777777777775
C-Kan,"Ayer, Hoy & Manana",22,31,3,2022,5,jueves,3.13345,0.05222416666666667
Santaflow,Jura por Tu Dios - Streaming Remaster,22,31,3,2022,5,jueves,3.9587333333333334,0.06597888888888889
Porta,Imperfecto,22,31,3,2022,5,jueves,4.25945,0.07099083333333334
Porta,Rap & Roll,22,31,3,2022,5,jueves,3.7272666666666665,0.06212111111111111
MisterWives,SUPERBLOOM,22,31,3,2022,5,jueves,3.5591,0.059318333333333334
Santaflow,Sin Miedo a Caer,22,31,3,2022,5,jueves,4.2699,0.071165
Tessa Violet,Words Ain't Enough,22,31,3,2022,5,jueves,2.07275,0.03454583333333333
MisterWives,over the rainbow,22,31,3,2022,5,jueves,2.9484333333333335,0.049140555555555555
MisterWives,the end,22,31,3,2022,5,jueves,3.2482166666666665,0.054136944444444446
Bebe Rexha,The Way I Are (Dance with Somebody) [feat. Lil Wayne],22,31,3,2022,5,jueves,3.129783333333333,0.05216305555555555
Lorde,Royals,22,31,3,2022,5,jueves,3.16975,0.05282916666666667
Zara Larsson,So Good (feat. Ty Dolla $ign),22,31,3,2022,5,jueves,2.7784333333333335,0.04630722222222222
Porta,Entre Avenidas y Aceras,22,31,3,2022,5,jueves,4.296316666666667,0.07160527777777778
Zara Larsson,WOW,22,31,3,2022,5,jueves,2.98485,0.0497475
Luna Snow,"Tonight - From ""Marvel Future Fight""/Future Fight Firsts Remix",22,31,3,2022,5,jueves,3.072,0.0512
Porta,Mi Cuento de Hadas,23,31,3,2022,5,jueves,4.243533333333334,0.07072555555555556
Santa RM,Conquístame,23,31,3,2022,5,jueves,5.0991,0.084985
Tessa Violet,Feelin,23,31,3,2022,5,jueves,3.0748,0.05124666666666667
Keyblade,Toma Dos Tazas (Cuphead Rap),23,31,3,2022,5,jueves,2.7112666666666665,0.04518777777777778
MisterWives,Never Give Up On Me,23,31,3,2022,5,jueves,2.9044333333333334,0.04840722222222222
Aitana,Lo Malo,23,31,3,2022,5,jueves,3.01385,0.050230833333333336
Keyblade,Deadpool Vs Deathstroke (Épicas Batallas de Rap del Frikismo T2),23,31,3,2022,5,jueves,3.2857166666666666,0.054761944444444446
Santa RM,Yo Vengo,23,31,3,2022,5,jueves,2.974666666666667,0.049577777777777776
Marshmello,FRIENDS,23,31,3,2022,5,jueves,0.0115,1.9166666666666667e-4
Santa RM,Dame una Hora,23,31,3,2022,5,jueves,0.015666666666666666,2.611111111111111e-4
Zara Larsson,WOW,23,31,3,2022,5,jueves,0.012166666666666666,2.0277777777777777e-4
Santaflow,La Locura Está en Mí (feat. Porta & Eneyser) - Remix,23,31,3,2022,5,jueves,0.010833333333333334,1.8055555555555555e-4
MisterWives,Kings And Queens,23,31,3,2022,5,jueves,1.1304166666666666,0.01884027777777778
Zara Larsson,Ain't My Fault,23,31,3,2022,5,jueves,0.016833333333333332,2.8055555555555554e-4
C-Kan,Un Par De Balas,23,31,3,2022,5,jueves,0.028833333333333332,4.805555555555556e-4
Porta,Harto y Cansado,23,31,3,2022,5,jueves,0.05516666666666667,9.194444444444444e-4
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,23,31,3,2022,5,jueves,2.634,0.0439
Keyblade,Fibonacci,23,31,3,2022,5,jueves,4.249533333333333,0.07082555555555556
TINI,Te Quiero Más,23,31,3,2022,5,jueves,3.41955,0.0569925
C-Kan,Donde Estan?,23,31,3,2022,5,jueves,4.518066666666667,0.07530111111111111
Tessa Violet,Bad Ideas,23,31,3,2022,5,jueves,2.9862166666666665,0.049770277777777774
Porta,El Fin Del Mundo,23,31,3,2022,5,jueves,3.34,0.05566666666666667
MisterWives,Same Drugs,23,31,3,2022,5,jueves,4.409766666666667,0.07349611111111111
Porta,Realidad Virtual,23,31,3,2022,5,jueves,5.200333333333333,0.08667222222222222
Santaflow,La Locura Está en Mí - Streaming Remaster,0,1,4,2022,6,viernes,3.3928833333333333,0.05654805555555555
Tessa Violet,Words Ain't Enough,0,1,4,2022,6,viernes,2.073583333333333,0.03455972222222222
MisterWives,Oh Love,0,1,4,2022,6,viernes,2.2535,0.03755833333333333
Keyblade,Toma Dos Tazas (Cuphead Rap),13,2,4,2022,7,sábado,2.7112666666666665,0.04518777777777778
Luna Snow,I Really Wanna,13,2,4,2022,7,sábado,3.51435,0.0585725
Santaflow,Segundos Fuera - Streaming Remaster,13,2,4,2022,7,sábado,3.8333333333333334e-4,6.3888888888888885e-6
Porta,Mi Rosa Negra,13,2,4,2022,7,sábado,0.0096,1.6e-4
Porta,Espejismos,13,2,4,2022,7,sábado,4.005216666666667,0.06675361111111111
Zara Larsson,"She's Not Me, Pt. 1 & 2",13,2,4,2022,7,sábado,3.8333333333333334e-4,6.3888888888888885e-6
TINI,Te Quiero Más,13,2,4,2022,7,sábado,0.015766666666666665,2.627777777777778e-4
Iggy Azalea,Switch,13,2,4,2022,7,sábado,0.017,2.8333333333333335e-4
Tessa Violet,Not over You,13,2,4,2022,7,sábado,3.8333333333333334e-4,6.3888888888888885e-6
C-Kan,"Ayer, Hoy & Manana",13,2,4,2022,7,sábado,0.016033333333333333,2.6722222222222224e-4
Tessa Violet,Haze,13,2,4,2022,7,sábado,0.0176,2.933333333333333e-4
Porta,Dragon Ball Rap 1.5,13,2,4,2022,7,sábado,0.018433333333333333,3.0722222222222224e-4
Bebe Rexha,Meant to Be (feat. Florida Georgia Line),13,2,4,2022,7,sábado,0.01665,2.775e-4
C-Kan,La Calle Sabe De Mi Nombre,13,2,4,2022,7,sábado,0.01865,3.108333333333333e-4
MisterWives,rock bottom,13,2,4,2022,7,sábado,3.1746666666666665,0.05291111111111111
MisterWives,Box Around The Sun,13,2,4,2022,7,sábado,0.4613833333333333,0.007689722222222222
Porta,Tela de Araña,16,2,4,2022,7,sábado,0.019166666666666665,3.1944444444444446e-4
